		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
		-9	-9	-9	-9	-9	-9	-9
D1_1	1	88	96	149	-9	274	195	144
D1_1	1	90	117	157	-9	274	198	144
D1_1	1	-9	-9	-9	-9	-9	-9	-9
D1_1	1	-9	-9	-9	-9	-9	-9	-9
D1_1	1	-9	-9	-9	-9	-9	-9	-9
D1_1	1	-9	-9	-9	-9	-9	-9	-9
D2_1	1	80	123	129	174	256	195	142
D2_1	1	80	123	165	174	286	198	142
D2_1	1	-9	-9	-9	-9	-9	-9	-9
D2_1	1	-9	-9	-9	-9	-9	-9	-9
D2_1	1	-9	-9	-9	-9	-9	-9	-9
D2_1	1	-9	-9	-9	-9	-9	-9	-9
D3_1	1	88	123	129	166	277	198	144
D3_1	1	92	129	165	180	292	198	144
D3_1	1	-9	-9	-9	-9	-9	-9	-9
D3_1	1	-9	-9	-9	-9	-9	-9	-9
D3_1	1	-9	-9	-9	-9	-9	-9	-9
D3_1	1	-9	-9	-9	-9	-9	-9	-9
D4_1	1	88	120	129	180	253	195	144
D4_1	1	90	123	157	194	277	198	144
D4_1	1	-9	-9	-9	-9	-9	-9	-9
D4_1	1	-9	-9	-9	-9	-9	-9	-9
D4_1	1	-9	-9	-9	-9	-9	-9	-9
D4_1	1	-9	-9	-9	-9	-9	-9	-9
D5_1	1	88	123	129	186	256	198	144
D5_1	1	88	123	157	188	292	198	146
D5_1	1	-9	-9	-9	-9	-9	-9	-9
D5_1	1	-9	-9	-9	-9	-9	-9	-9
D5_1	1	-9	-9	-9	-9	-9	-9	-9
D5_1	1	-9	-9	-9	-9	-9	-9	-9
D6_1	1	78	114	129	170	274	195	144
D6_1	1	78	114	165	176	277	195	144
D6_1	1	-9	-9	-9	-9	-9	-9	-9
D6_1	1	-9	-9	-9	-9	-9	-9	-9
D6_1	1	-9	-9	-9	-9	-9	-9	-9
D6_1	1	-9	-9	-9	-9	-9	-9	-9
D7_1	1	78	93	129	180	256	195	142
D7_1	1	82	132	141	182	280	198	144
D7_1	1	-9	-9	-9	-9	-9	-9	-9
D7_1	1	-9	-9	-9	-9	-9	-9	-9
D7_1	1	-9	-9	-9	-9	-9	-9	-9
D7_1	1	-9	-9	-9	-9	-9	-9	-9
D8_1	1	88	93	145	190	253	195	144
D8_1	1	88	126	157	190	277	198	146
D8_1	1	-9	-9	-9	-9	-9	-9	-9
D8_1	1	-9	-9	-9	-9	-9	-9	-9
D8_1	1	-9	-9	-9	-9	-9	-9	-9
D8_1	1	-9	-9	-9	-9	-9	-9	-9
D9_1	1	88	93	129	-9	256	195	144
D9_1	1	88	123	141	-9	283	198	144
D9_1	1	-9	-9	-9	-9	-9	-9	-9
D9_1	1	-9	-9	-9	-9	-9	-9	-9
D9_1	1	-9	-9	-9	-9	-9	-9	-9
D9_1	1	-9	-9	-9	-9	-9	-9	-9
D10_1	1	76	117	129	178	256	195	144
D10_1	1	88	117	149	178	268	198	144
D10_1	1	-9	-9	-9	-9	-9	-9	-9
D10_1	1	-9	-9	-9	-9	-9	-9	-9
D10_1	1	-9	-9	-9	-9	-9	-9	-9
D10_1	1	-9	-9	-9	-9	-9	-9	-9
D11_1	1	88	123	141	182	256	195	144
D11_1	1	88	126	161	198	271	198	144
D11_1	1	-9	-9	-9	-9	-9	-9	-9
D11_1	1	-9	-9	-9	-9	-9	-9	-9
D11_1	1	-9	-9	-9	-9	-9	-9	-9
D11_1	1	-9	-9	-9	-9	-9	-9	-9
D12_1	1	78	117	129	180	262	198	144
D12_1	1	92	129	141	180	280	198	144
D12_1	1	-9	-9	-9	-9	-9	-9	-9
D12_1	1	-9	-9	-9	-9	-9	-9	-9
D12_1	1	-9	-9	-9	-9	-9	-9	-9
D12_1	1	-9	-9	-9	-9	-9	-9	-9
D13_1	1	78	120	129	-9	274	195	144
D13_1	1	88	120	129	-9	280	198	144
D13_1	1	-9	-9	-9	-9	-9	-9	-9
D13_1	1	-9	-9	-9	-9	-9	-9	-9
D13_1	1	-9	-9	-9	-9	-9	-9	-9
D13_1	1	-9	-9	-9	-9	-9	-9	-9
D14_1	1	86	114	129	176	256	195	144
D14_1	1	88	117	157	176	277	198	144
D14_1	1	-9	-9	-9	-9	-9	-9	-9
D14_1	1	-9	-9	-9	-9	-9	-9	-9
D14_1	1	-9	-9	-9	-9	-9	-9	-9
D14_1	1	-9	-9	-9	-9	-9	-9	-9
D15_1	1	88	126	129	170	277	198	144
