		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
		-9	-9	-9	-9	-9	-9	-9
D31_2	2	78	129	129	184	256	198	144
D31_2	2	86	129	161	190	271	204	144
D31_2	2	-9	-9	-9	-9	-9	-9	-9
D31_2	2	-9	-9	-9	-9	-9	-9	-9
D31_2	2	-9	-9	-9	-9	-9	-9	-9
D31_2	2	-9	-9	-9	-9	-9	-9	-9
D32_2	2	78	114	157	170	274	195	142
D32_2	2	86	114	173	170	274	198	144
D32_2	2	-9	-9	-9	-9	-9	-9	-9
D32_2	2	-9	-9	-9	-9	-9	-9	-9
D32_2	2	-9	-9	-9	-9	-9	-9	-9
D32_2	2	-9	-9	-9	-9	-9	-9	-9
D33_2	2	78	117	157	184	256	195	144
D33_2	2	86	132	157	190	256	195	144
D33_2	2	-9	-9	-9	-9	-9	-9	-9
D33_2	2	-9	-9	-9	-9	-9	-9	-9
D33_2	2	-9	-9	-9	-9	-9	-9	-9
D33_2	2	-9	-9	-9	-9	-9	-9	-9
D34_2	2	78	123	129	170	-9	-9	-9
D34_2	2	86	123	165	184	-9	-9	-9
D34_2	2	-9	-9	-9	-9	-9	-9	-9
D34_2	2	-9	-9	-9	-9	-9	-9	-9
D34_2	2	-9	-9	-9	-9	-9	-9	-9
D34_2	2	-9	-9	-9	-9	-9	-9	-9
D35_2	2	82	129	129	184	274	195	144
D35_2	2	86	129	153	190	274	198	144
D35_2	2	-9	-9	-9	-9	-9	-9	-9
D35_2	2	-9	-9	-9	-9	-9	-9	-9
D35_2	2	-9	-9	-9	-9	-9	-9	-9
D35_2	2	-9	-9	-9	-9	-9	-9	-9
D36_2	2	76	117	157	170	256	195	144
D36_2	2	86	129	157	170	274	198	144
D36_2	2	-9	-9	-9	-9	-9	-9	-9
D36_2	2	-9	-9	-9	-9	-9	-9	-9
D36_2	2	-9	-9	-9	-9	-9	-9	-9
D36_2	2	-9	-9	-9	-9	-9	-9	-9
D37_2	2	78	129	129	174	256	195	144
D37_2	2	82	132	129	182	271	198	144
D37_2	2	-9	-9	-9	-9	-9	-9	-9
D37_2	2	-9	-9	-9	-9	-9	-9	-9
