Sample	PopInfo	Ploidy						
D316	1	2						
D317	1	2						
D318	1	2						
D319	1	2						
D320	1	2						
D321	1	2						
D322	1	2						
D323	1	2						
D324	1	2						
D325	1	2						
D326	1	2						
D327	1	2						
D328	1	2						
D329	1	2						
D330	1	2						
D331	1	2						
D332	1	2						
D333	1	2						
D334	1	2						
D335	1	2						
D336	1	2						
D337	1	2						
D338	1	2						
D339	1	2						
D340	1	2						
D341	1	2						
D342	1	2						
D343	1	2						
D344	1	2						
D345	1	2						
D18	2	2						
D20	2	2						
D21	2	2						
D22	2	2						
D23	2	2						
D24	2	2						
D25	2	2						
D26	2	2						
D27	2	2						
D28	2	2						
D29	2	2						
D30	2	2						
D31	2	2						
D32	2	2						
D33	2	2						
D34	2	2						
D35	2	2						
D36	2	2						
D37	2	2						
D38	2	2						
D39	2	2						
D42	2	2						
D295	3	2						
D296	3	2						
D297	3	2						
D298	3	2						
D299	3	2						
D300	3	2						
D301	3	2						
D302	3	2						
D303	3	2						
D304	3	2						
D305	3	2						
D306	3	2						
D307	3	2						
D308	3	2						
D309	3	2						
D310	3	2						
D311	3	2						
D312	3	2						
D313	3	2						
D314	3	2						
D315	3	2						
D174	4	2						
D175	4	2						
D176	4	2						
D177	4	2						
D178	4	2						
D179	4	2						
D180	4	2						
D181	4	2						
D182	4	2						
D183	4	2						
D232	5	2						
D233	5	2						
D234	5	2						
D235	5	2						
D236	5	2						
D237	5	2						
D238	5	2						
D239	5	2						
D240	5	2						
D241	5	2						
D242	5	2						
D243	5	2						
D244	5	2						
D245	5	2						
D246	5	2						
D247	5	2						
D248	5	2						
D249	5	2						
D250	5	2						
D251	5	2						
D252	5	2						
D253	5	2						
D254	5	2						
D255	5	2						
D256	5	2						
D5	6	2						
D6	6	2						
D7	6	2						
D8	6	2						
D155	6	2						
D156	6	2						
D157	6	2						
D158	6	2						
D159	6	2						
D160	6	2						
D161	6	2						
D162	6	2						
D163	6	2						
D164	6	2						
D165	6	2						
D166	6	2						
D167	6	2						
D168	6	2						
D169	6	2						
D170	6	2						
D171	6	2						
D172	6	2						
D173	6	2						
D257	7	2						
D258	7	2						
D259	7	2						
D260	7	2						
D261	7	2						
D262	7	2						
D263	7	2						
D264	7	2						
D265	7	2						
D266	7	2						
D267	7	2						
D268	7	2						
D13	8	2						
D14	8	2						
D15	8	2						
D16	8	2						
D17	8	2						
D49	8	2						
D50	8	2						
D51	8	2						
D52	8	2						
D53	8	2						
D54	8	2						
D56	8	2						
D57	8	2						
D58	8	2						
D59	8	2						
D60	8	2						
D61	8	2						
D63	8	2						
D1	9	2						
D2	9	2						
D3	9	2						
D4	9	2						
D135	9	2						
D136	9	2						
D137	9	2						
D138	9	2						
D139	9	2						
D140	9	2						
D141	9	2						
D142	9	2						
D143	9	2						
D144	9	2						
D145	9	2						
D146	9	2						
D147	9	2						
D148	9	2						
D149	9	2						
D150	9	2						
D151	9	2						
D152	9	2						
D153	9	2						
D154	9	2						
D191	10	2						
D192	10	2						
D193	10	2						
D194	10	2						
D195	10	2						
D196	10	2						
D197	10	2						
D198	10	2						
D199	10	2						
D200	10	2						
D201	10	2						
D202	10	2						
D203	10	2						
D204	10	2						
D205	10	2						
D206	10	2						
D207	10	2						
D208	10	2						
D209	10	2						
D210	10	2						
D211	11	2						
D212	11	2						
D213	11	2						
D214	11	2						
D215	11	2						
D216	11	2						
D217	11	2						
D218	11	2						
D219	11	2						
D220	11	2						
D221	11	2						
D222	11	2						
D223	11	2						
D224	11	2						
D225	11	2						
D226	11	2						
D227	11	2						
D228	11	2						
D229	11	2						
D230	11	2						
D231	11	2						
D269	12	2						
D270	12	2						
D271	12	2						
D272	12	2						
D273	12	2						
D274	12	2						
D275	12	2						
D276	12	2						
D277	12	2						
D278	12	2						
D279	12	2						
D280	12	2						
D281	12	2						
D282	12	2						
D283	12	2						
D284	12	2						
D285	12	2						
D286	12	2						
D287	12	2						
D288	12	2						
D289	12	2						
D290	12	2						
D291	12	2						
D292	12	2						
D293	12	2						
D294	12	2						
D9	13	2						
D10	13	2						
D11	13	2						
D12	13	2						
D64	13	2						
D65	13	2						
D66	13	2						
D67	13	2						
D68	13	2						
D69	13	2						
D70	13	2						
D71	13	2						
D72	13	2						
D73	13	2						
D74	13	2						
D75	13	2						
D76	13	2						
D77	13	2						
D78	13	2						
D79	13	2						
D80	13	2						
D81	13	2						
D82	13	2						
D83	13	2						
D84	13	2						
D184	14	2						
D185	14	2						
D186	14	2						
D187	14	2						
D188	14	2						
D189	14	2						
D190	14	2						
D85	15	2						
D86	15	2						
D87	15	2						
D88	15	2						
D89	15	2						
D90	15	2						
D91	15	2						
D92	15	2						
D93	15	2						
D94	15	2						
D95	15	2						
D96	15	2						
D97	15	2						
D98	15	2						
D99	15	2						
D100	15	2						
D101	15	2						
D102	15	2						
D103	15	2						
D104	15	2						
D105	15	2						
D106	15	2						
D107	15	2						
D108	15	2						
D109	15	2						
D110	16	2						
D111	16	2						
D112	16	2						
D113	16	2						
D114	16	2						
D115	16	2						
D116	16	2						
D117	16	2						
D118	16	2						
D119	16	2						
D120	16	2						
D121	16	2						
D122	16	2						
D123	16	2						
D124	16	2						
D125	16	2						
D126	16	2						
D127	16	2						
D128	16	2						
D129	16	2						
D130	16	2						
D131	16	2						
D132	16	2						
D133	16	2						
D134	16	2						
H264	17	6						
H265	17	6						
H266	17	6						
H267	17	6						
H268	17	6						
H269	17	6						
H270	17	6						
H271	17	6						
H272	17	6						
H273	17	6						
H274	17	6						
H275	17	6						
H276	17	6						
H277	17	6						
H278	17	6						
H279	17	6						
H280	17	6						
H281	17	6						
H282	17	6						
H283	17	6						
H284	17	6						
H285	17	6						
H286	17	6						
H287	17	6						
H288	17	6						
H289	17	6						
H258	18	6						
H259	18	6						
H260	18	6						
H261	18	6						
H262	18	6						
H263	18	6						
H367	19	6						
H368	19	6						
H369	19	6						
H370	19	6						
H371	19	6						
H372	19	6						
H373	19	6						
H374	19	6						
H375	19	6						
H376	19	6						
H377	19	6						
H378	19	6						
H379	19	6						
H380	19	6						
H381	19	6						
H382	19	6						
H383	19	6						
H384	19	6						
H385	19	6						
H386	19	6						
H387	19	6						
H388	19	6						
H389	19	6						
H390	19	6						
H391	19	6						
H392	19	6						
H393	19	6						
H394	19	6						
H395	19	6						
H396	19	6						
H397	20	6						
H398	20	6						
H399	20	6						
H400	20	6						
H401	20	6						
H402	20	6						
H403	20	6						
H404	20	6						
H405	20	6						
H406	20	6						
H407	20	6						
H408	20	6						
H409	20	6						
H410	20	6						
H16	21	6						
H17	21	6						
H18	21	6						
H19	21	6						
H20	21	6						
H21	21	6						
H22	21	6						
H23	21	6						
H24	21	6						
H25	21	6						
H26	21	6						
H27	21	6						
H28	21	6						
H29	21	6						
H178	21	6						
H179	21	6						
H180	21	6						
H181	21	6						
H182	21	6						
H183	21	6						
H184	21	6						
H316	22	6						
H317	22	6						
H318	22	6						
H319	22	6						
H320	22	6						
H321	22	6						
H322	22	6						
H323	22	6						
H324	22	6						
H325	22	6						
H326	22	6						
H327	22	6						
H328	22	6						
H329	22	6						
H330	22	6						
H331	22	6						
H332	22	6						
H333	22	6						
H334	22	6						
H335	22	6						
H336	22	6						
H337	22	6						
H338	22	6						
H339	22	6						
H340	22	6						
H3	23	6						
H4	23	6						
H5	23	6						
H6	23	6						
H168	23	6						
H169	23	6						
H170	23	6						
H171	23	6						
H172	23	6						
H174	23	6						
H175	23	6						
H176	23	6						
H177	23	6						
H185	24	6						
H186	24	6						
H187	24	6						
H188	24	6						
H189	24	6						
H190	24	6						
H191	24	6						
H192	24	6						
H193	24	6						
H194	24	6						
H195	24	6						
H196	24	6						
H197	24	6						
H198	24	6						
H199	24	6						
H200	24	6						
H201	24	6						
H202	24	6						
H203	24	6						
H204	24	6						
H205	24	6						
H206	24	6						
H290	25	6						
H291	25	6						
H292	25	6						
H293	25	6						
H294	25	6						
H295	25	6						
H296	25	6						
H297	25	6						
H298	25	6						
H299	25	6						
H300	25	6						
