		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
		-9	-9	-9	-9	-9	-9	-9
D84_5	5	78	114	129	176	253	195	144
D84_5	5	80	123	129	184	274	195	144
D84_5	5	-9	-9	-9	-9	-9	-9	-9
D84_5	5	-9	-9	-9	-9	-9	-9	-9
D84_5	5	-9	-9	-9	-9	-9	-9	-9
D84_5	5	-9	-9	-9	-9	-9	-9	-9
D85_5	5	78	114	165	172	274	195	144
D85_5	5	88	141	165	184	274	195	144
D85_5	5	-9	-9	-9	-9	-9	-9	-9
D85_5	5	-9	-9	-9	-9	-9	-9	-9
D85_5	5	-9	-9	-9	-9	-9	-9	-9
D85_5	5	-9	-9	-9	-9	-9	-9	-9
D86_5	5	78	114	145	174	271	195	144
D86_5	5	86	138	161	176	277	198	144
D86_5	5	-9	-9	-9	-9	-9	-9	-9
D86_5	5	-9	-9	-9	-9	-9	-9	-9
D86_5	5	-9	-9	-9	-9	-9	-9	-9
D86_5	5	-9	-9	-9	-9	-9	-9	-9
D87_5	5	86	114	129	174	274	195	144
D87_5	5	88	138	145	184	274	195	144
D87_5	5	-9	-9	-9	-9	-9	-9	-9
D87_5	5	-9	-9	-9	-9	-9	-9	-9
D87_5	5	-9	-9	-9	-9	-9	-9	-9
D87_5	5	-9	-9	-9	-9	-9	-9	-9
D88_5	5	78	114	165	174	274	195	144
D88_5	5	88	123	165	180	280	195	144
D88_5	5	-9	-9	-9	-9	-9	-9	-9
D88_5	5	-9	-9	-9	-9	-9	-9	-9
D88_5	5	-9	-9	-9	-9	-9	-9	-9
D88_5	5	-9	-9	-9	-9	-9	-9	-9
D89_5	5	78	114	145	176	274	195	144
D89_5	5	78	114	161	184	283	201	144
D89_5	5	-9	-9	-9	-9	-9	-9	-9
D89_5	5	-9	-9	-9	-9	-9	-9	-9
D89_5	5	-9	-9	-9	-9	-9	-9	-9
D89_5	5	-9	-9	-9	-9	-9	-9	-9
D90_5	5	78	114	161	184	271	195	144
D90_5	5	78	123	161	184	274	195	144
D90_5	5	-9	-9	-9	-9	-9	-9	-9
D90_5	5	-9	-9	-9	-9	-9	-9	-9
D90_5	5	-9	-9	-9	-9	-9	-9	-9
D90_5	5	-9	-9	-9	-9	-9	-9	-9
D91_5	5	78	132	129	180	265	195	144
D91_5	5	94	132	153	186	274	195	146
D91_5	5	-9	-9	-9	-9	-9	-9	-9
D91_5	5	-9	-9	-9	-9	-9	-9	-9
D91_5	5	-9	-9	-9	-9	-9	-9	-9
D91_5	5	-9	-9	-9	-9	-9	-9	-9
D92_5	5	78	114	149	176	250	195	144
D92_5	5	78	114	161	176	283	204	144
D92_5	5	-9	-9	-9	-9	-9	-9	-9
D92_5	5	-9	-9	-9	-9	-9	-9	-9
D92_5	5	-9	-9	-9	-9	-9	-9	-9
D92_5	5	-9	-9	-9	-9	-9	-9	-9
D93_5	5	78	114	-9	174	253	195	144
D93_5	5	86	138	-9	174	274	195	144
D93_5	5	-9	-9	-9	-9	-9	-9	-9
D93_5	5	-9	-9	-9	-9	-9	-9	-9
D93_5	5	-9	-9	-9	-9	-9	-9	-9
D93_5	5	-9	-9	-9	-9	-9	-9	-9
D94_5	5	78	123	145	176	253	195	144
D94_5	5	88	138	145	176	274	195	144
D94_5	5	-9	-9	-9	-9	-9	-9	-9
D94_5	5	-9	-9	-9	-9	-9	-9	-9
D94_5	5	-9	-9	-9	-9	-9	-9	-9
D94_5	5	-9	-9	-9	-9	-9	-9	-9
D95_5	5	80	96	153	174	274	195	144
D95_5	5	88	123	153	174	277	195	144
D95_5	5	-9	-9	-9	-9	-9	-9	-9
D95_5	5	-9	-9	-9	-9	-9	-9	-9
D95_5	5	-9	-9	-9	-9	-9	-9	-9
D95_5	5	-9	-9	-9	-9	-9	-9	-9
D96_5	5	82	120	145	176	256	195	144
D96_5	5	94	132	165	180	280	204	144
D96_5	5	-9	-9	-9	-9	-9	-9	-9
D96_5	5	-9	-9	-9	-9	-9	-9	-9
D96_5	5	-9	-9	-9	-9	-9	-9	-9
D96_5	5	-9	-9	-9	-9	-9	-9	-9
D97_5	5	84	117	-9	180	274	195	144
D97_5	5	94	132	-9	180	280	195	144
D97_5	5	-9	-9	-9	-9	-9	-9	-9
D97_5	5	-9	-9	-9	-9	-9	-9	-9
D97_5	5	-9	-9	-9	-9	-9	-9	-9
D97_5	5	-9	-9	-9	-9	-9	-9	-9
D98_5	5	90	123	129	192	280	195	144
D98_5	5	94	132	165	194	280	195	144
D98_5	5	-9	-9	-9	-9	-9	-9	-9
D98_5	5	-9	-9	-9	-9	-9	-9	-9
D98_5	5	-9	-9	-9	-9	-9	-9	-9
D98_5	5	-9	-9	-9	-9	-9	-9	-9
D99_5	5	78	132	145	172	-9	195	144
D99_5	5	94	132	165	178	-9	195	144
D99_5	5	-9	-9	-9	-9	-9	-9	-9
D99_5	5	-9	-9	-9	-9	-9	-9	-9
D99_5	5	-9	-9	-9	-9	-9	-9	-9
D99_5	5	-9	-9	-9	-9	-9	-9	-9
D100_5	5	82	120	145	170	-9	195	144
D100_5	5	88	129	165	184	-9	195	144
D100_5	5	-9	-9	-9	-9	-9	-9	-9
D100_5	5	-9	-9	-9	-9	-9	-9	-9
