		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
		-9	-9	-9	-9	-9	-9	-9
H411_21	21	70	96	-9	158	-9	195	136
H411_21	21	80	111	-9	158	-9	198	138
H411_21	21	70	129	-9	158	-9	204	142
H411_21	21	70	153	-9	158	-9	207	148
H411_21	21	70	96	-9	158	-9	213	136
H411_21	21	70	96	-9	158	-9	195	136
H412_21	21	78	126	129	170	295	195	144
H412_21	21	82	129	153	172	295	198	146
H412_21	21	78	126	129	170	295	195	144
H412_21	21	78	126	129	170	295	195	144
H412_21	21	78	126	129	170	295	195	144
H412_21	21	78	126	129	170	295	195	144
H413_21	21	70	96	69	148	280	192	138
H413_21	21	72	117	69	156	283	198	140
H413_21	21	70	153	69	148	280	201	142
H413_21	21	70	96	69	148	280	204	146
H413_21	21	70	96	69	148	280	192	148
H413_21	21	70	96	69	148	280	192	138
H414_21	21	70	96	69	156	-9	195	136
H414_21	21	70	153	73	156	-9	198	142
H414_21	21	70	159	69	156	-9	201	146
H414_21	21	70	96	69	156	-9	204	136
H414_21	21	70	96	69	156	-9	210	136
H414_21	21	70	96	69	156	-9	213	136
H415_21	21	70	93	69	154	-9	198	136
H415_21	21	82	96	69	156	-9	204	142
H415_21	21	70	111	69	154	-9	207	146
H415_21	21	70	93	69	154	-9	198	136
H415_21	21	70	93	69	154	-9	198	136
H415_21	21	70	93	69	154	-9	198	136
H416_21	21	56	93	69	156	256	195	136
H416_21	21	72	96	85	158	283	198	140
H416_21	21	82	111	69	156	256	204	142
H416_21	21	98	117	69	156	256	207	146
H416_21	21	110	129	69	156	256	210	136
H416_21	21	56	159	69	156	256	213	136
H417_21	21	82	93	69	148	280	198	136
H417_21	21	92	96	73	156	280	204	142
H417_21	21	98	129	85	148	280	198	136
H417_21	21	82	153	69	148	280	198	136
H417_21	21	82	93	69	148	280	198	136
H417_21	21	82	93	69	148	280	198	136
H418_21	21	98	93	69	148	283	198	136
H418_21	21	106	96	73	156	283	204	138
H418_21	21	110	129	85	148	283	198	142
H418_21	21	98	156	69	148	283	198	146
H418_21	21	98	93	69	148	283	198	136
H418_21	21	98	93	69	148	283	198	136
H419_21	21	72	96	73	156	283	192	136
H419_21	21	82	117	73	158	283	198	138
H419_21	21	88	153	73	156	283	201	142
H419_21	21	92	96	73	156	283	204	146
H419_21	21	72	96	73	156	283	207	148
H419_21	21	72	96	73	156	283	192	136
H420_21	21	60	126	85	184	271	198	138
H420_21	21	74	135	129	184	274	201	146
H420_21	21	80	126	161	184	271	198	138
H420_21	21	60	126	85	184	271	198	138
H420_21	21	60	126	85	184	271	198	138
H420_21	21	60	126	85	184	271	198	138
H421_21	21	70	93	69	156	280	192	128
H421_21	21	90	96	85	158	280	198	136
H421_21	21	98	153	69	156	280	201	138
H421_21	21	104	156	69	156	280	192	146
H421_21	21	70	93	69	156	280	192	152
H421_21	21	70	93	69	156	280	192	128
H422_21	21	70	96	85	156	283	198	128
H422_21	21	72	153	85	158	283	204	136
H422_21	21	88	156	85	156	283	207	138
H422_21	21	90	96	85	156	283	198	142
H422_21	21	70	96	85	156	283	198	128
H422_21	21	70	96	85	156	283	198	128
H423_21	21	70	96	69	156	283	198	136
H423_21	21	72	120	85	156	283	204	140
H423_21	21	88	129	69	156	283	207	142
H423_21	21	90	156	69	156	283	198	146
H423_21	21	70	162	69	156	283	198	136
H423_21	21	70	96	69	156	283	198	136
H424_21	21	70	93	69	156	256	198	136
H424_21	21	96	96	73	158	268	204	146
H424_21	21	102	117	69	156	274	207	136
H424_21	21	70	153	69	156	277	198	136
H424_21	21	70	156	69	156	280	198	136
H424_21	21	70	93	69	156	283	198	136
H425_21	21	80	96	89	170	256	195	142
H425_21	21	82	102	89	170	268	198	142
H425_21	21	92	114	89	170	256	195	142
H425_21	21	94	96	89	170	256	195	142
H425_21	21	80	96	89	170	256	195	142
H425_21	21	80	96	89	170	256	195	142
H426_21	21	60	93	129	176	274	195	142
H426_21	21	78	129	129	176	274	198	144
H426_21	21	86	93	129	176	274	195	142
H426_21	21	92	93	129	176	274	195	142
H426_21	21	94	93	129	176	274	195	142
H426_21	21	60	93	129	176	274	195	142
H427_21	21	60	111	129	178	253	195	142
H427_21	21	80	111	165	180	271	198	144
H427_21	21	86	111	129	178	274	195	142
H427_21	21	92	111	129	178	277	195	142
H427_21	21	94	111	129	178	304	195	142
H427_21	21	60	111	129	178	319	195	142
H428_21	21	60	93	129	170	274	195	140
H428_21	21	78	129	129	206	274	195	142
H428_21	21	86	93	129	208	274	195	140
H428_21	21	92	93	129	170	274	195	140
H428_21	21	94	93	129	170	274	195	140
H428_21	21	60	93	129	170	274	195	140
H429_21	21	60	132	89	174	253	195	140
H429_21	21	80	132	129	174	274	198	142
H429_21	21	92	132	89	174	289	195	140
H429_21	21	94	132	89	174	253	195	140
H429_21	21	60	132	89	174	253	195	140
H429_21	21	60	132	89	174	253	195	140
H430_21	21	60	93	129	172	253	195	140
H430_21	21	78	129	153	184	268	195	142
H430_21	21	82	93	129	172	271	195	140
H430_21	21	90	93	129	172	274	195	140
H430_21	21	92	93	129	172	277	195	140
H430_21	21	60	93	129	172	304	195	140
H431_21	21	60	93	129	172	274	195	140
H431_21	21	78	126	153	182	277	195	142
H431_21	21	82	129	129	184	301	195	140
H431_21	21	90	93	129	172	304	195	140
H431_21	21	92	93	129	172	274	195	140
H431_21	21	60	93	129	172	274	195	140
