		F58red	A12green	B3blue	A415black	G431blue	J15green	H231red
		-9	-9	-9	-9	-9	-9	-9
D132_7	7	78	120	129	168	-9	195	142
D132_7	7	78	120	129	168	-9	195	144
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D132_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	78	120	129	176	-9	195	144
D133_7	7	88	123	157	176	-9	198	146
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D133_7	7	-9	-9	-9	-9	-9	-9	-9
D134_7	7	80	126	153	192	274	195	142
D134_7	7	88	135	157	192	274	198	144
D134_7	7	-9	-9	-9	-9	-9	-9	-9
D134_7	7	-9	-9	-9	-9	-9	-9	-9
D134_7	7	-9	-9	-9	-9	-9	-9	-9
D134_7	7	-9	-9	-9	-9	-9	-9	-9
D135_7	7	80	120	153	182	271	195	144
D135_7	7	88	120	153	184	277	195	144
D135_7	7	-9	-9	-9	-9	-9	-9	-9
D135_7	7	-9	-9	-9	-9	-9	-9	-9
D135_7	7	-9	-9	-9	-9	-9	-9	-9
D135_7	7	-9	-9	-9	-9	-9	-9	-9
D136_7	7	82	120	153	168	280	195	144
D136_7	7	90	120	153	170	289	195	146
D136_7	7	-9	-9	-9	-9	-9	-9	-9
D136_7	7	-9	-9	-9	-9	-9	-9	-9
D136_7	7	-9	-9	-9	-9	-9	-9	-9
D136_7	7	-9	-9	-9	-9	-9	-9	-9
D137_7	7	80	120	133	176	-9	-9	-9
D137_7	7	88	126	141	176	-9	-9	-9
D137_7	7	-9	-9	-9	-9	-9	-9	-9
D137_7	7	-9	-9	-9	-9	-9	-9	-9
D137_7	7	-9	-9	-9	-9	-9	-9	-9
D137_7	7	-9	-9	-9	-9	-9	-9	-9
D138_7	7	78	120	129	178	-9	195	144
D138_7	7	78	126	141	184	-9	198	144
D138_7	7	-9	-9	-9	-9	-9	-9	-9
D138_7	7	-9	-9	-9	-9	-9	-9	-9
D138_7	7	-9	-9	-9	-9	-9	-9	-9
D138_7	7	-9	-9	-9	-9	-9	-9	-9
D139_7	7	78	138	129	178	-9	195	144
D139_7	7	88	141	129	196	-9	198	144
D139_7	7	-9	-9	-9	-9	-9	-9	-9
D139_7	7	-9	-9	-9	-9	-9	-9	-9
D139_7	7	-9	-9	-9	-9	-9	-9	-9
D139_7	7	-9	-9	-9	-9	-9	-9	-9
D140_7	7	80	120	129	170	-9	195	144
D140_7	7	90	120	153	194	-9	198	144
D140_7	7	-9	-9	-9	-9	-9	-9	-9
D140_7	7	-9	-9	-9	-9	-9	-9	-9
D140_7	7	-9	-9	-9	-9	-9	-9	-9
D140_7	7	-9	-9	-9	-9	-9	-9	-9
D141_7	7	80	120	129	180	-9	195	142
D141_7	7	88	123	145	180	-9	195	146
D141_7	7	-9	-9	-9	-9	-9	-9	-9
D141_7	7	-9	-9	-9	-9	-9	-9	-9
D141_7	7	-9	-9	-9	-9	-9	-9	-9
D141_7	7	-9	-9	-9	-9	-9	-9	-9
D142_7	7	78	120	153	176	295	195	142
D142_7	7	78	141	157	180	295	198	146
D142_7	7	-9	-9	-9	-9	-9	-9	-9
D142_7	7	-9	-9	-9	-9	-9	-9	-9
D142_7	7	-9	-9	-9	-9	-9	-9	-9
D142_7	7	-9	-9	-9	-9	-9	-9	-9
D143_7	7	78	117	129	184	-9	195	146
D143_7	7	80	135	129	184	-9	195	146
D143_7	7	-9	-9	-9	-9	-9	-9	-9
D143_7	7	-9	-9	-9	-9	-9	-9	-9
D143_7	7	-9	-9	-9	-9	-9	-9	-9
D143_7	7	-9	-9	-9	-9	-9	-9	-9
H397_20	20	70	96	69	154	277	198	136
H397_20	20	82	126	73	156	283	204	140
H397_20	20	96	129	69	154	301	207	148
H397_20	20	102	96	69	154	313	210	136
H397_20	20	70	96	69	154	316	213	136
H397_20	20	70	96	69	154	322	219	136
H398_20	20	70	87	69	154	259	198	136
H398_20	20	72	90	73	156	265	207	140
H398_20	20	76	96	69	154	277	210	148
H398_20	20	78	114	69	154	280	198	136
H398_20	20	70	123	69	154	310	198	136
H398_20	20	70	87	69	154	325	198	136
H399_20	20	60	90	69	156	265	189	138
H399_20	20	70	96	73	156	277	192	148
H399_20	20	78	114	69	156	280	198	152
H399_20	20	84	90	69	156	292	204	154
H399_20	20	92	90	69	156	304	207	138
H399_20	20	60	90	69	156	310	189	138
H400_20	20	70	90	69	156	271	192	136
H400_20	20	72	96	73	156	274	195	138
H400_20	20	78	114	69	156	280	198	140
H400_20	20	82	90	69	156	289	204	142
H400_20	20	102	90	69	156	319	210	146
H400_20	20	108	90	69	156	271	192	136
H401_20	20	56	96	69	154	271	195	130
H401_20	20	70	108	73	156	280	201	138
H401_20	20	72	123	69	154	283	204	140
H401_20	20	84	126	69	154	286	207	142
H401_20	20	98	132	69	154	295	195	144
H401_20	20	56	96	69	154	298	195	146
H402_20	20	56	93	69	154	250	201	136
H402_20	20	66	96	73	154	268	201	138
H402_20	20	70	108	69	154	283	201	142
H402_20	20	78	93	69	154	286	201	144
H402_20	20	108	93	69	154	292	201	146
H402_20	20	56	93	69	154	304	201	136
H403_20	20	60	96	69	156	259	204	136
H403_20	20	70	153	73	156	274	207	138
H403_20	20	78	156	69	156	277	210	140
H403_20	20	100	96	69	156	280	204	142
H403_20	20	60	96	69	156	295	204	144
H403_20	20	60	96	69	156	310	204	136
H404_20	20	70	96	69	154	274	192	130
H404_20	20	78	132	73	156	307	198	140
H404_20	20	82	150	69	154	310	204	142
H404_20	20	102	96	69	154	313	210	144
H404_20	20	70	96	69	154	274	192	130
H404_20	20	70	96	69	154	274	192	130
H405_20	20	60	96	69	154	268	210	130
H405_20	20	70	114	73	156	274	210	132
H405_20	20	72	153	69	154	304	210	140
H405_20	20	82	96	69	154	310	210	142
H405_20	20	84	96	69	154	313	210	130
H405_20	20	108	96	69	154	268	210	130
H406_20	20	60	96	69	154	262	198	130
H406_20	20	70	126	69	156	277	198	136
H406_20	20	72	150	69	154	295	198	142
H406_20	20	82	96	69	154	304	198	144
H406_20	20	86	96	69	154	307	198	146
H406_20	20	60	96	69	154	262	198	130
H407_20	20	70	96	73	154	268	189	130
H407_20	20	72	123	141	156	283	195	142
H407_20	20	78	174	157	154	289	207	144
H407_20	20	70	96	73	154	307	210	146
H407_20	20	70	96	73	154	268	213	130
H407_20	20	70	96	73	154	268	189	130
H408_20	20	70	93	69	154	256	192	136
H408_20	20	82	96	69	154	268	213	138
H408_20	20	86	126	69	154	274	192	140
H408_20	20	104	135	69	154	277	192	142
H408_20	20	70	93	69	154	280	192	146
H408_20	20	70	93	69	154	295	192	136
H409_20	20	70	90	69	154	268	192	130
H409_20	20	78	123	73	156	283	198	136
H409_20	20	88	150	69	154	298	216	140
H409_20	20	106	90	69	154	307	192	142
H409_20	20	70	90	69	154	268	192	144
H409_20	20	70	90	69	154	268	192	130
H410_20	20	70	96	69	156	274	192	130
H410_20	20	80	135	73	156	277	210	136
H410_20	20	104	162	141	156	280	192	138
H410_20	20	70	96	69	156	283	192	142
H410_20	20	70	96	69	156	274	192	152
H410_20	20	70	96	69	156	274	192	130
