PCA	PCA1	PCA2	Ploidy
Pop1	0.8144	-0.0355	2
Pop2	0.9220	0.0212	2
Pop3	0.8449	-0.3068	2
Pop4	0.7860	0.3553	2
Pop5	0.8761	-0.5513	2
Pop6	0.6062	0.8823	2
Pop7	0.7643	-0.2689	2
Pop8	0.8683	0.0010	2
Pop9	0.9219	0.3930	2
Pop10	0.4382	-0.1296	2
Pop11	0.7106	-0.0392	2
Pop12	0.8181	-0.6576	2
Pop13	0.9133	0.0568	2
Pop14	0.8445	-0.3723	2
Pop15	0.5997	0.4143	2
Pop16	0.8250	0.2821	2
Pop17	-0.7953	0.0468	6
Pop18	-0.7155	0.1760	6
Pop19	-0.5621	-0.1189	6
Pop20	-0.7189	0.0339	6
Pop21	-0.1957	0.2506	6
Pop22	-0.9406	-0.0847	6
Pop23	-0.6666	-0.0938	6
Pop24	-0.8711	0.0293	6
Pop25	-0.8748	0.0724	6
Pop26	-0.7815	-0.0080	6
Pop27	-0.8631	-0.0497	6
Pop28	-0.6378	0.0754	6
Pop29	-0.7457	-0.0234	6
Pop30	-0.8568	-0.0296	6
Pop31	-0.8506	-0.1711	6
Pop32	-0.7586	-0.0706	6
Pop33	-0.7188	-0.0794	6
