PCA	PCA_axis_1	PCA_axis_2	Ploidy
D132	1.286714	-0.457553	2
D133	0.883404	-0.506198	2
D134	0.588704	0.39653	2
D135	1.329233	1.117186	2
D136	1.15349	1.100281	2
D137	0.427984	0.104138	2
D138	0.947024	-0.510499	2
D139	0.867384	-0.661814	2
D140	1.107684	0.724867	2
D141	0.887809	-0.158759	2
D142	0.76897	-0.573192	2
D143	0.947325	-0.826455	2
H397	-0.9522	0.134646	6
H398	-0.835593	-0.080699	6
H399	-0.921464	0.009	6
H400	-0.836658	0.08149	6
H401	-0.601132	0.070621	6
H402	-0.694191	-0.107135	6
H403	-0.932289	0.040669	6
H404	-0.786379	0.011071	6
H405	-1.010831	0.148588	6
H406	-0.786709	-0.023341	6
H407	-0.444348	-0.162802	6
H408	-0.835496	0.065348	6
H409	-0.615366	-0.154488	6
H410	-0.943069	0.218501	6
